t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
 13.6000   0.7701  -2.9343  -2.8695   0.7701   1.0975  -1.1261  -1.0361   0.7236  -0.0533  -0.0918  -0.0021   0.1372   0.6750  -0.0024 
 13.7000   0.8430  -2.8127  -2.8492   0.8065   0.9729  -1.1798  -1.0898   0.7124  -0.0502  -0.0914   0.0000   0.1322   0.6659  -0.0024 
 13.8000   1.1916  -3.0397  -3.0559   0.7457   0.8067  -1.0430  -0.9322   0.7539  -0.0520  -0.1004  -0.0139   0.1270   0.6559  -0.0038 
 13.9000   0.8390  -3.4936  -2.9546   1.0254   0.9071  -0.7591  -0.9582   0.5964  -0.0573  -0.1039  -0.0114   0.1212   0.6455  -0.0049 
 14.0000   0.7538  -3.0032  -2.7033   0.7417   0.9824  -0.9989  -1.1062   0.7530  -0.0526  -0.0900  -0.0101   0.1159   0.6365  -0.0059 
 14.1000   0.7417  -3.1248  -2.5898   0.7417   0.9383  -0.8898  -1.1824   0.7669  -0.0529  -0.0900  -0.0174   0.1106   0.6275  -0.0076 
 14.2000   0.7579  -2.8695  -2.5655   0.3891   0.9262  -1.0110  -1.2317   1.0041  -0.0536  -0.0823  -0.0218   0.1051   0.6194  -0.0098 
 14.3000   0.3648  -2.6263  -2.5412   0.5593   1.2144  -1.1824  -1.2862   0.9400  -0.0530  -0.0761   0.0036   0.0998   0.6118  -0.0095 
 14.4000   0.6485  -2.7520  -2.9222   0.7336   1.0724  -1.1166  -1.1209   0.8578  -0.0537  -0.0882   0.0083   0.0943   0.6030  -0.0086 
 14.5000   0.7944  -2.8249  -3.1735   0.8146   1.0015  -1.0984  -0.9642   0.8361  -0.0549  -0.0951   0.0120   0.0887   0.5936  -0.0074 
 14.6000   0.6728  -2.7844  -2.9587   0.8673   1.0923  -1.0949  -1.0603   0.7626  -0.0525  -0.0910   0.0120   0.0834   0.5845  -0.0063 
 14.7000   0.6120  -2.5655  -3.1127   1.0092   1.1417  -1.2750  -0.9694   0.6803  -0.0507  -0.0912   0.0307   0.0783   0.5754  -0.0032 
 14.8000   0.8633  -2.9181  -3.0559   0.9889   0.9642  -1.1175  -0.9660   0.6812  -0.0515  -0.0978   0.0086   0.0731   0.5656  -0.0023 
 14.9000   1.0619  -3.0559  -3.0397   0.8633   0.8786  -1.0309  -0.9097   0.7176  -0.0521  -0.1003  -0.0070   0.0679   0.5556  -0.0030 
 15.0000   0.7822  -3.4328  -3.1005   1.1794   1.0274  -0.8327  -0.8500   0.5098  -0.0571  -0.1062   0.0021   0.0621   0.5450  -0.0028 
 15.1000   0.9281  -2.9708  -3.0397   0.9849   0.8881  -1.0551  -0.8517   0.5678  -0.0512  -0.0990   0.0041   0.0570   0.5351  -0.0024 
 15.2000   1.1956  -3.1167  -3.4328   0.6566   0.6890  -0.9227  -0.5704   0.7314  -0.0587  -0.1050  -0.0072   0.0511   0.5246  -0.0031 
 15.3000   0.7538  -2.9668  -2.5898   0.4053   0.8915  -0.9729  -1.0724   0.8924  -0.0550  -0.0839  -0.0236   0.0455   0.5163  -0.0055 
 15.4000   0.4742  -2.9424  -2.3993   0.2959   1.1226  -0.9850  -1.2360   1.0041  -0.0571  -0.0764  -0.0234   0.0398   0.5087  -0.0078 
 15.5000   0.7336  -3.1491  -2.4237   0.3404   1.0144  -0.8327  -1.2733   1.0569  -0.0562  -0.0831  -0.0363   0.0341   0.5004  -0.0115 
 15.6000   0.6201  -2.9465  -2.6142   0.3810   1.0456  -0.9357  -1.2179   1.0716  -0.0570  -0.0820  -0.0186   0.0283   0.4923  -0.0133 
 15.7000   0.2715  -2.9465  -2.6628   0.5715   1.3122  -0.9703  -1.2412   1.0517  -0.0596  -0.0807   0.0005   0.0222   0.4843  -0.0133 
 15.8000   0.4499  -2.6142  -2.6871   0.7052   1.2871  -1.1451  -1.2637   1.0101  -0.0518  -0.0807   0.0107   0.0170   0.4763  -0.0122 
 15.9000   0.7174  -2.5412  -2.7155   0.8390   1.1607  -1.2611  -1.2767   0.9573  -0.0463  -0.0852   0.0096   0.0122   0.4678  -0.0112 
 16.0000   1.0132  -2.6871  -3.5423   0.8390   0.9859  -1.1971  -0.8240   0.9409  -0.0547  -0.1010   0.0221   0.0066   0.4578  -0.0090 
 16.1000   0.7214  -2.7398  -3.1613   1.1227   1.1244  -1.2109  -1.0084   0.7487  -0.0507  -0.0968   0.0267   0.0015   0.4481  -0.0064 
 16.2000   1.6536  -2.6142  -2.7033   1.7874   1.2819  -0.8457  -0.8067   1.0266  -0.0235  -0.1095   0.0072  -0.0009   0.4372  -0.0056 
 16.3000   2.3507  -2.6993  -2.6506   2.2291   0.9859  -0.6890  -0.7228   0.8760  -0.0096  -0.1241  -0.0055  -0.0020   0.4248  -0.0062 
