t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
 15.0000  -2.5777   2.5453  -3.3356   2.4358  -1.0006   0.5929  -0.1731   0.4155  -0.0117  -0.0081   0.3537  -0.0013  -0.0002   5.8884 
 15.1000  -3.2707   3.1370  -2.8330   3.2829  -0.9037   1.0222  -0.4302   0.6197   0.0040   0.0036   0.4066  -0.0007  -0.0000   5.9291 
 15.2000  -2.9465   2.8249  -2.7276   3.1370  -0.8292   0.7885  -0.6301   0.4354   0.0036  -0.0012   0.3778  -0.0005  -0.0003   5.9668 
 15.3000  -3.0073   3.3356  -3.5017   3.0640  -1.0543   0.6587  -0.3722   0.5306  -0.0014  -0.0028   0.4191  -0.0007  -0.0005   6.0088 
 15.4000  -2.8857   3.3356  -2.9951   2.7844  -0.8517   0.4830  -0.2216   0.4345   0.0030   0.0055   0.3896  -0.0002  -0.0001   6.0477 
 15.5000  -3.0154   2.6790  -2.6912   2.6425  -0.8734   0.7453  -0.7262   0.6864  -0.0048   0.0045   0.3581  -0.0006   0.0005   6.0835 
 15.6000  -3.3558   3.4572  -3.4653   3.7571  -0.7089   0.6682  -0.4951   0.4821   0.0049  -0.0051   0.4557  -0.0002  -0.0001   6.1291 
 15.7000  -2.7357   2.6425  -2.4601   2.0792  -0.7556   0.4977  -0.3990   0.5583  -0.0059   0.0105   0.3220  -0.0006   0.0010   6.1613 
 15.8000  -3.6477   3.0640  -3.1410   3.9151  -0.5566   0.8535  -0.8690   0.7660   0.0024  -0.0043   0.4470  -0.0005   0.0006   6.2060 
 15.9000  -2.7479   2.4237  -2.5534   2.9465  -0.6249   0.6795  -0.5410   0.4060   0.0009  -0.0041   0.3465  -0.0004   0.0002   6.2406 
 16.0000  -3.0762   3.4207  -3.6639   3.2829  -1.0266   0.6561  -0.3731   0.6899  -0.0005  -0.0056   0.4365  -0.0005  -0.0004   6.2843 
